Source,Target
Mauricio Rua,Corey Anderson
Cristiane Justino,Leslie Smith
Fabricio Werdum,Stipe Miocic
Demian Maia,Matt Brown
Jacare Souza,Vitor Belfort
Warlley Alves,Bryan Barberena
John Lineker,Rob Font
Sergio Moraes,Luan Chagas
Renato Moicano,Zubaira Tukhugov
Rogerio Nogueira,Patrick Cummins
Antonio Silva,Stefan Struve
Albert Tumenov,Gunnar Nelson
Rustam Khabilov,Chris Wade
Alistair Overeem,Andrei Arlovski
Nikita Krylov,Francimar Barroso
Karolina Kowalkiewicz,Heather Clark
Germaine de Randamie,Anna Elmose
Magnus Cedenblad,Garreth McLellan
Jon Tuck,Josh Emmett
Kyoji Horiguchi,Neil Seery
Yan Cabral,Reza Madadi
Yuta Sasaki,Willie Gates
Leon Edwards,Dominic Waters
Yair Rodriguez,Andre Fili
Anthony Pettis,Edson Barboza
Danny Roberts,Dominique Steele
Sergio Pettis,Chris Kelades
Carla Esparza,Juliana Lima
Jon Jones,Ovince Saint Preux
Demetrious Johnson,Henry Cejudo
Robert Whittaker,Rafael Natal
Glaico Franca Moreira,James Vick
Walt Harris,Cody East
Marcos Rogerio de Lima,Clint Hester
Efrain Escudero,Kevin Lee
Beneil Dariush,Michael Chiesa
Bethe Correia,Raquel Pennington
Court McGee,Santiago Ponzinibbio
Randy Brown,Michael Graves
Rose Namajunas,Tecia Torres
Khabib Nurmagomedov,Darrell Horcher
Cub Swanson,Hacran Dias
Glover Teixeira,Rashad Evans
John Dodson,Manvel Gamburyan
Oluwale Bamgbose,Cezar Ferreira
Elizeu Zaleski dos Santos,Omari Akhmedov
Igor Pokrajac,Jan Blachowicz
Ian Entwistle,Alejandro Perez
Derrick Lewis,Gabriel Gonzaga
Nicolas Dalby,Zak Cummings
Timothy Johnson,Marcin Tybura
Maryna Moroz,Cristina Stanciu
Ben Rothwell,Junior Dos Santos
Francis Ngannou,Curtis Blaydes
Mairbek Taisumov,Damir Hadzovic
Filip Pejic,Damian Stasiak
Jared Cannonier,Cyril Asker
Robert Whiteford,Lucas Martins
Alessio Di Chirico,Bojan Velickovic
Mark Hunt,Frank Mir
Hector Lombard,Neil Magny
Bec Rawlings,Seo Hee Ham
Jake Matthews,Johnny Case
Daniel Kelly,Antonio Carlos Junior
James Te Huna,Steve Bosse
Dan Hooker,Mark Eddiva
Brendan O'Reilly,Alan Jouban
Leslie Smith,Rin Nakai
Ross Pearson,Chad Laprise
Richard Walsh,Viscardi Andrade
Alan Patrick,Damien Brown
Vitor Miranda,Marcelo Guimaraes
Brandon Thatch,Siyar Bahadurzada
Amanda Nunes,Valentina Shevchenko
Conor McGregor,Nate Diaz
Erick Silva,Nordine Taleb
Corey Anderson,Tom Lawlor
Holly Holm,Miesha Tate
Gian Villante,Ilir Latifi
Darren Elkins,Chas Skelly
Jason Saggo,Justin Salas
Diego Sanchez,Jim Miller
Julian Erosa,Teruto Ishihara
Scott Askham,Chris Dempsey
Tom Breese,Keita Nakamura
Anderson Silva,Michael Bisping
Mike Wilkinson,Makwan Amirkhani
Arnold Allen,Yaotzin Meza
Gegard Mousasi,Thales Leites
Davey Grant,Marlon Vera
Francisco Rivera,Brad Pickett
Norman Parke,Rustam Khabilov
Teemu Packalen,Thibault Gouti
Brad Scott,Krzysztof Jotko
David Teymur,Martin Svensson
Daniel Omielanczuk,Jarjis Danho
Dennis Bermudez,Tatsuya Kawajiri
Cody Garbrandt,Augusto Mendes
Daniel Sarafian,Oluwale Bamgbose
Derek Brunson,Roan Carneiro
Donald Cerrone,Alex Oliveira
Alex Garcia,Sean Strickland
James Krause,Shane Campbell
Chris Camozzi,Joe Riggs
Anthony Smith,Leonardo Guimaraes
Marion Reneau,Ashlee Evans-Smith
Lauren Murphy,Kelly Faszholz
Jonavin Webb,Nathan Coy
Anthony Hamilton,Shamil Abdurakhimov
Derrick Lewis,Damian Grabowski
Johny Hendricks,Stephen Thompson
Mike Pyle,Sean Spencer
Misha Cirkunov,Alex Nicholson
Joshua Burkman,KJ Noons
Ovince Saint Preux,Rafael Cavalcante
Joseph Benavidez,Zach Makovsky
Roy Nelson,Jared Rosholt
Noad Lahat,Diego Rivas
Ray Borg,Justin Scoggins
Mickey Gall,Mike Jackson
Artem Lobov,Alex White
Sage Northcutt,Bryan Barberena
Tarec Saffiedine,Jake Ellenberger
Olivier Aubin-Mercier,Diego Ferreira
Rafael Natal,Kevin Casey
Dustin Ortiz,Wilson Reis
Anthony Johnson,Ryan Bader
Josh Barnett,Ben Rothwell
Iuri Alcantara,Jimmie Rivera
Matt Dwyer,Randy Brown
George Sullivan,Alexander Yakovlev
Alex Caceres,Masio Fullen
Damon Jackson,Levan Makashvili
Anthony Rocco Martin,Felipe Olivieri
Maximo Blanco,Luke Sanders
Tim Boetsch,Ed Herman
Patrick Cote,Ben Saunders
Ross Pearson,Francisco Trinaldo
Travis Browne,Matt Mitrione
Anthony Pettis,Eddie Alvarez
Chris Wade,Mehdi Baghdad
TJ Dillashaw,Dominick Cruz
Ilir Latifi,Sean O'Connell
Paul Felder,Daron Cruickshank
Rob Font,Joey Gomez
Francimar Barroso,Elvis Mutapcic
Charles Rosa,Kyle Bochniak
Justine Kish,Nina Ansaroff
Diego Brandao,Brian Ortega
Kyle Noke,Alex Morono
Abel Trujillo,Tony Sims
Lorenz Larkin,Albert Tumenov
Stipe Miocic,Andrei Arlovski
Michael McDonald,Masanori Kanehara
Joe Soto,Michinori Tanaka
Robbie Lawler,Carlos Condit
Dustin Poirier,Joe Duffy
Scott Holtzman,Drew Dober
Sheldon Westcott,Edgar Garcia
Rafael Dos Anjos,Donald Cerrone
Randa Markos,Karolina Kowalkiewicz
Charles Oliveira,Myles Jury
CB Dollaway,Nate Marquardt
Josh Samman,Tamdan McCrory
Michael Johnson,Nate Diaz
Junior Dos Santos,Alistair Overeem
Sarah Kaufman,Valentina Shevchenko
Kamaru Usman,Leon Edwards
Hayder Hassan,Vicente Luque
Cole Miller,Jim Alers
Nik Lentz,Danny Castillo
Francis Ngannou,Luis Henrique
Warlley Alves,Colby Covington
Tecia Torres,Jocelyn Jones-Lybarger
Jacare Souza,Yoel Romero
Jose Aldo,Conor McGregor
Chris Weidman,Luke Rockhold
Urijah Faber,Frankie Saenz
Demian Maia,Gunnar Nelson
Max Holloway,Jeremy Stephens
Leonardo Santos,Kevin Lee
Joe Proctor,Magomed Mustafaev
Court McGee,Marcio Alexandre Junior
John Makdessi,Yancy Medeiros
Julian Erosa,Marcin Wrzosek
Artem Lobov,Ryan Hall
Tatsuya Kawajiri,Jason Knight
Edson Barboza,Tony Ferguson
Joe Lauzon,Evan Dunham
Ryan LaFlare,Mike Pierce
Gabriel Gonzaga,Konstantin Erokhin
Frankie Edgar,Chad Mendes
Joby Sanchez,Geane Herrera
Chris Gruetzemacher,Abner Lloveras
Antonio Carlos Junior,Kevin Casey
Jim Miller,Michael Chiesa
Omari Akhmedov,Sergio Moraes
Elias Theodorou,Thiago Santos
Rose Namajunas,Paige VanZant
Sage Northcutt,Cody Pfister
Aljamain Sterling,Johnny Eduardo
Tim Means,John Howard
Danny Roberts,Nathan Coy
Santiago Ponzinibbio,Andreas Stahl
Zubaira Tukhugov,Phillipe Nover
Kailin Curran,Emily Kagan
Dongi Yang,Jake Collier
Seo Hee Ham,Cortney Casey
Dong Hyun Kim,Dominic Waters
Yoshihiro Akiyama,Alberto Mina
Tae Hyun Bang,Leo Kuntz
Benson Henderson,Jorge Masvidal
Dooho Choi,Sam Sicilia
Yui Chul Nam,Mike de la Torre
Dominique Steele,Dong Hyun Ma
Guangyou Ning,Marco Beltran
Yao Zhikui,Fredy Serrano
Jussier Formiga,Henry Cejudo
Efrain Escudero,Leandro Silva
Neil Magny,Kelvin Gastelum
Ricardo Lamas,Diego Sanchez
Erick Montano,Enrique Marin
Horacio Gutierrez,Enrique Barzola
Erik Perez,Taylor Lapilus
Hector Urbina,Bartosz Fabinski
Valmir Lazaro,Michel Prazeres
Vernon Ramos Ho,Alvaro Herrera Mendoza
Cesar Arzamendia,Marco Polo Reyes
Gabriel Benitez,Andre Fili
Alejandro Perez,Scott Jorgensen
Anthony Perosh,Gian Villante
Kyle Noke,Peter Sobotta
Uriah Hall,Robert Whittaker
Stefan Struve,Jared Rosholt
Jake Matthews,Akbarh Arreola
Ronda Rousey,Holly Holm
Joanna Jedrzejczyk,Valerie Letourneau
Mark Hunt,Antonio Silva
Richie Vaculik,Danny Martinez
Daniel Kelly,Steve Montgomery
Richard Walsh,Steve Kennedy
James Moontasri,Anton Zafir
Ben Nguyen,Ryan Benoit
Yan Cabral,Johnny Case
Thomas Almeida,Anthony Birchak
Alex Oliveira,Piotr Hallmann
Glover Teixeira,Patrick Cummins
Gilbert Burns,Rashid Magomedov
Fabio Maldonado,Corey Anderson
Vitor Belfort,Dan Henderson
Gleison Tibau,Abel Trujillo
Clay Guida,Thiago Tavares
Edimilson Souza,Chas Skelly
Viscardi Andrade,Gasan Umalatov
Bruno Rodrigues,Matheus Nicolau
Pedro Munhoz,Jimmie Rivera
Scott Askham,Krzysztof Jotko
Norman Parke,Reza Madadi
Aisling Daly,Ericka Almeida
Neil Seery,Jon Delos Reyes
Nicolas Dalby,Darren Till
Cathal Pendred,Tom Breese
Paddy Holohan,Louis Smolka
Stevie Ray,Mickael Lebout
Darren Elkins,Robert Whiteford
Bubba Bush,Garreth McLellan
Yair Rodriguez,Dan Hooker
Ryan Bader,Rashad Evans
Joseph Benavidez,Ali Bagautinov
Adriano Martins,Islam Makhachev
Shawn Jordan,Ruslan Magomedov
Jessica Eye,Julianna Pena
Alan Jouban,Albert Tumenov
Daniel Cormier,Alexander Gustafsson
Rose Namajunas,Angela Hill
Francisco Trevino,Sage Northcutt
Chris Cariaso,Sergio Pettis
Derrick Lewis,Viktor Pesta
Katsunori Kikuno,Diego Brandao
Keita Nakamura,Li Jingliang
Nick Hein,Yusuke Kasuya
Gegard Mousasi,Uriah Hall
Josh Barnett,Roy Nelson
Kyoji Horiguchi,Chico Camus
Takeya Mizugaki,George Roop
Mizuto Hirota,Teruto Ishihara
Shinsho Anzai,Roger Zapata
Naoyuki Kotani,Kajan Johnson
Ross Pearson,Paul Felder
Anthony Johnson,Jimi Manuwa
Paige VanZant,Alex Chambers
Jessica Andrade,Raquel Pennington
Demetrious Johnson,John Dodson
Jan Blachowicz,Corey Anderson
Francisco Rivera,John Lineker
Andrei Arlovski,Frank Mir
Joe Riggs,Ron Stallings
Clay Collard,Tiago dos Santos e Silva
Joaquim Silva,Nazareno Malegarie
Maryna Moroz,Valerie Letourneau
Max Holloway,Charles Oliveira
Sam Stout,Frankie Perez
Chad Laprise,Francisco Trinaldo
Yves Jabouin,Felipe Arantes
Neil Magny,Erick Silva
Patrick Cote,Joshua Burkman
Olivier Aubin-Mercier,Tony Sims
Misha Cirkunov,Daniel Jolly
Shane Campbell,Elias Silverio
Marcos Rogerio de Lima,Nikita Krylov
Chris Kelades,Chris Beal
Derek Brunson,Sam Alvey
Sara McMann,Amanda Nunes
Jared Rosholt,Timothy Johnson
Michael Johnson,Beneil Dariush
Uriah Hall,Oluwale Bamgbose
Glover Teixeira,Ovince Saint Preux
Ray Borg,Geane Herrera
Chris Camozzi,Tom Watson
Frankie Saenz,Sirwan Kakai
Dustin Ortiz,Willie Gates
Chris Dempsey,Jonathan Wilson
Marlon Vera,Roman Salazar
Anthony Christodoulou,Scott Holtzman
Demian Maia,Neil Magny
Ronda Rousey,Bethe Correia
Stefan Struve,Antonio Rodrigo Nogueira
Antonio Silva,Soa Palelei
Glaico Franca Moreira,Fernando Bruno
Claudia Gadelha,Jessica Aguilar
Mauricio Rua,Rogerio Nogueira
Reginaldo Vieira,Dileno Lopes
Rafael Cavalcante,Patrick Cummins
Iuri Alcantara,Leandro Issa
Warlley Alves,Nordine Taleb
Vitor Miranda,Clint Hester
Hugo Viana,Guido Cannetti
Edson Barboza,Paul Felder
Joe Lauzon,Takanori Gomi
Jim Miller,Danny Castillo
Gian Villante,Tom Lawlor
Eddie Wineland,Bryan Caraway
TJ Dillashaw,Renan Barao
Kenny Robertson,Ben Saunders
Miesha Tate,Jessica Eye
Daron Cruickshank,James Krause
Zak Cummings,Dominique Steele
Jessamyn Duke,Elizabeth Phillips
Ramsey Nijem,Andrew Holbrook
Leon Edwards,Pawel Pawlak
Joanne Calderwood,Cortney Casey
Joe Duffy,Ivan Jorge
Ross Pearson,Evan Dunham
Paddy Holohan,Vaughan Lee
Michael Bisping,Thales Leites
Stevie Ray,Leonardo Mafra
Ilir Latifi,Hans Stringer
Mickael Lebout,Teemu Packalen
Robert Whiteford,Paul Redmond
Daniel Omielanczuk,Chris de la Rocha
Marcus Brimage,Jimmie Rivera
Sam Sicilia,Yaotzin Meza
Alan Jouban,Matt Dwyer
Jessica Andrade,Sarah Moras
Kevin Lee,James Moontasri
Josh Thomson,Tony Ferguson
Scott Jorgensen,Manvel Gamburyan
Holly Holm,Marion Reneau
Frank Mir,Todd Duffee
Rani Yahya,Masanori Kanehara
Andrew Craig,Lyman Good
Igor Araujo,Sean Strickland
Kevin Casey,Ildemar Alcantara
Maximo Blanco,Mike de la Torre
Jorge Masvidal,Cezar Ferreira
Josh Samman,Caio Magalhaes
Angela Magana,Michelle Waterson
Jake Ellenberger,Stephen Thompson
Kamaru Usman,Hayder Hassan
Russell Doane,Jerrod Sanders
Michael Graves,Vicente Luque
Darrell Montague,Willie Gates
George Sullivan,Dominic Waters
Dan Miller,Trevor Smith
Chad Mendes,Conor McGregor
Matt Brown,Tim Means
Gunnar Nelson,Brandon Thatch
Robbie Lawler,Rory MacDonald
Cathal Pendred,John Howard
Mike Swick,Alex Garcia
Brad Pickett,Thomas Almeida
Dennis Bermudez,Jeremy Stephens
Neil Seery,Louis Smolka
Yosdenis Cedeno,Cody Pfister
Cody Garbrandt,Henry Briones
Steve Montgomery,Tony Sims
Santiago Ponzinibbio,Lorenz Larkin
Antonio Carlos Junior,Eddie Gordon
Leandro Silva,Lewis Gonzalez
Lyoto Machida,Yoel Romero
Hacran Dias,Levan Makashvili
Thiago Santos,Steve Bosse
Alex Oliveira,Joe Merritt
Danny Martinez,Sirwan Kakai
Nick Hein,Lukasz Sajewski
Joanna Jedrzejczyk,Jessica Penne
Dennis Siver,Tatsuya Kawajiri
Peter Sobotta,Steve Kennedy
Makwan Amirkhani,Masio Fullen
Mairbek Taisumov,Alan Patrick
Alan Omer,Arnold Allen
Niklas Backstrom,Noad Lahat
Scott Askham,Antonio Dos Santos
Taylor Lapilus,Yuta Sasaki
Piotr Hallmann,Magomed Mustafaev
Alejandro Perez,Patrick Williams
Henry Cejudo,Chico Camus
Tecia Torres,Angela Hill
Yair Rodriguez,Charles Rosa
Gilbert Melendez,Eddie Alvarez
Cain Velasquez,Fabricio Werdum
Kelvin Gastelum,Nate Marquardt
Efrain Escudero,Drew Dober
Francisco Trevino,Johnny Case
Gabriel Benitez,Clay Collard
Augusto Montano,Cathal Pendred
Tim Boetsch,Dan Henderson
Francisco Rivera,Alex Caceres
Joe Soto,Anthony Birchak
Thiago Tavares,Brian Ortega
Dustin Poirier,Yancy Medeiros
Ben Rothwell,Matt Mitrione
Shawn Jordan,Derrick Lewis
Brian Ebersole,Omari Akhmedov
Ricardo Abreu,Jake Collier
Chris Wade,Christos Giagos
Jose Quinonez,Leonardo Morales
Joe Proctor,Justin Edwards
Wendell Oliveira Marques,Darren Till
KJ Noons,Alex Oliveira
Jussier Formiga,Wilson Reis
Francimar Barroso,Ryan Jimmo
Rony Jason,Damon Jackson
Carlos Condit,Thiago Alves
Francisco Trinaldo,Norman Parke
Nik Lentz,Charles Oliveira
Juliana Lima,Ericka Almeida
Luiz Dutra,Tom Breese
Elizeu Zaleski dos Santos,Nicolas Dalby
Lucas Martins,Mirsad Bektic
Chris Weidman,Vitor Belfort
Uriah Hall,Rafael Natal
John Dodson,Zach Makovsky
Anthony Johnson,Daniel Cormier
Travis Browne,Andrei Arlovski
Dong Hyun Kim,Joshua Burkman
Joseph Benavidez,John Moraga
Donald Cerrone,John Makdessi
Islam Makhachev,Leo Kuntz
Mike Pyle,Colby Covington
Justin Scoggins,Josh Sampo
Hyun Gyu Lim,Neil Magny
Gegard Mousasi,Constantinos Philippou
Mark Eddiva,Levan Makashvili
Tae Hyun Bang,Jon Tuck
Zhang Lipeng,Kajan Johnson
Mark Munoz,Luke Barnatt
Phillipe Nover,Yui Chul Nam
Frankie Edgar,Urijah Faber
Roldan Sangcha'an,Jon Delos Reyes
Li Jingliang,Dhiego Lima
Nolan Ticman,Yao Zhikui
Guangyou Ning,Royston Wee
Daniel Kelly,Sam Alvey
Stipe Miocic,Mark Hunt
Jake Matthews,James Vick
Anthony Perosh,Sean O'Connell
Brad Tavares,Robert Whittaker
Hatsu Hioki,Dan Hooker
Bec Rawlings,Lisa Ellis
Kyle Noke,Jonavin Webb
Dylan Andrews,Brad Scott
Alex Chambers,Kailin Curran
Alptekin Ozkilic,Ben Nguyen
Vik Grujic,Brendan O'Reilly
Demetrious Johnson,Kyoji Horiguchi
Patrick Cote,Joe Riggs
John Makdessi,Shane Campbell
Michael Bisping,CB Dollaway
Yves Jabouin,Thomas Almeida
Quinton Jackson,Fabio Maldonado
Chad Laprise,Bryan Barberena
Alexis Davis,Sarah Kaufman
Olivier Aubin-Mercier,David Michaud
Nordine Taleb,Chris Clements
Jessica Rakoczy,Valerie Letourneau
Randa Markos,Aisling Daly
Jim Miller,Beneil Dariush
Jacare Souza,Chris Camozzi
Ovince Saint Preux,Patrick Cummins
Takeya Mizugaki,Aljamain Sterling
Lyoto Machida,Luke Rockhold
Cub Swanson,Max Holloway
Corey Anderson,Gian Villante
Felice Herrig,Paige VanZant
Eddie Gordon,Chris Dempsey
George Sullivan,Tim Means
Diego Brandao,Jimy Hettes
Joanne Calderwood,Maryna Moroz
Jimi Manuwa,Jan Blachowicz
Damian Stasiak,Yaotzin Meza
Pawel Pawlak,Sheldon Westcott
Bartosz Fabinski,Garreth McLellan
Sergio Moraes,Mickael Lebout
Seth Baczynski,Leon Edwards
Gabriel Gonzaga,Mirko Filipovic
Daniel Omielanczuk,Anthony Hamilton
Izabela Badurek,Aleksandra Albu
Taylor Lapilus,Rocky Lee
Marcin Bandel,Stevie Ray
Jorge Masvidal,Al Iaquinta
Chad Mendes,Ricardo Lamas
Gray Maynard,Alexander Yakovlev
Michael Chiesa,Mitch Clarke
Clay Guida,Robert Peralta
Julianna Pena,Milana Dudieva
Dustin Poirier,Diego Ferreira
Shamil Abdurakhimov,Timothy Johnson
Liz Carmouche,Lauren Murphy
Ron Stallings,Justin Jones
Leonardo Santos,Anthony Rocco Martin
Amanda Nunes,Shayna Baszler
Godofredo Pepey,Andre Fili
Gilbert Burns,Alex Oliveira
Francisco Trinaldo,Akbarh Arreola
Demian Maia,Ryan LaFlare
Edimilson Souza,Katsunori Kikuno
Erick Silva,Josh Koscheck
Leonardo Mafra,Cain Carrizosa
Leandro Silva,Drew Dober
Jorge de Oliveira,Christos Giagos
Bentley Syler,Fredy Serrano
Elias Theodorou,Roger Narvaez
Johny Hendricks,Matt Brown
Carla Esparza,Joanna Jedrzejczyk
Ross Pearson,Sam Stout
Chris Cariaso,Henry Cejudo
Roy Nelson,Alistair Overeem
Anthony Pettis,Rafael Dos Anjos
Daron Cruickshank,Beneil Dariush
Jake Lindsey,Joe Duffy
Sergio Pettis,Ryan Benoit
Jared Rosholt,Josh Copeland
Larissa Pacheco,Germaine de Randamie
Jake Ellenberger,Josh Koscheck
Dhiego Lima,Tim Means
Mark Munoz,Roan Carneiro
Roman Salazar,Norifumi Yamamoto
Tony Ferguson,Gleison Tibau
Ronda Rousey,Cat Zingano
Raquel Pennington,Holly Holm
James Krause,Valmir Lazaro
Alan Jouban,Richard Walsh
Derrick Lewis,Ruan Potts
Masio Fullen,Alex Torres
Cezar Ferreira,Sam Alvey
Santiago Ponzinibbio,Sean Strickland
Iuri Alcantara,Frankie Saenz
Antonio Silva,Frank Mir
Rustam Khabilov,Adriano Martins
Jessica Andrade,Marion Reneau
Edson Barboza,Michael Johnson
William Macario,Matt Dwyer
Tiago dos Santos e Silva,Mike de la Torre
Douglas Silva de Andrade,Cody Gibson
Ivan Jorge,Josh Shockley
Michel Prazeres,Kevin Lee
Efrain Escudero,Rodrigo de Lima
Benson Henderson,Brandon Thatch
Ray Borg,Chris Kelades
Chas Skelly,Jim Alers
Neil Magny,Kiichi Kunimoto
Daniel Kelly,Patrick Walsh
Max Holloway,Cole Miller
James Moontasri,Cody Pfister
Zach Makovsky,Tim Elliott
Ed Herman,Derek Brunson
Joe Lauzon,Al Iaquinta
Jordan Mein,Thiago Alves
Tyron Woodley,Kelvin Gastelum
Ian McCall,John Lineker
Anderson Silva,Nick Diaz
Thales Leites,Tim Boetsch
Miesha Tate,Sara McMann
Rafael Natal,Tom Watson
Thiago Santos,Andy Enz
Richardson Moreira,Ildemar Alcantara
Kenny Robertson,Sultan Aliev
Alexander Gustafsson,Anthony Johnson
Andy Ogle,Makwan Amirkhani
Akira Corassani,Sam Sicilia
Dan Henderson,Gegard Mousasi
Phil Davis,Ryan Bader
Nicholas Musoke,Albert Tumenov
Nikita Krylov,Stanislav Nedkov
Mairbek Taisumov,Anthony Christodoulou
Mirsad Bektic,Paul Redmond
Neil Seery,Chris Beal
Viktor Pesta,Konstantin Erokhin
Zhang Lipeng,Chris Wade
Norman Parke,Gleison Tibau
Conor McGregor,Dennis Siver
Donald Cerrone,Benson Henderson
John Howard,Lorenz Larkin
Paddy Holohan,Shane Howell
Uriah Hall,Ron Stallings
Cathal Pendred,Sean Spencer
Johnny Case,Frankie Perez
Charles Rosa,Sean Soriano
Matt Van Buren,Sean O'Connell
Tateki Matsuda,Joby Sanchez
Donald Cerrone,Myles Jury
Shawn Jordan,Jared Cannonier
Brad Tavares,Nate Marquardt
Hector Lombard,Joshua Burkman
Marcus Brimage,Cody Garbrandt
Jon Jones,Daniel Cormier
Kyoji Horiguchi,Louis Gaudinot
Danny Castillo,Paul Felder
Omari Akhmedov,Mats Nilsson
Alexis Dufresne,Marion Reneau
Evan Dunham,Rodrigo Damm
Erick Silva,Mike Rhodes
Lyoto Machida,CB Dollaway
Antonio Carlos Junior,Patrick Cummins
Renan Barao,Mitch Gagnon
Tom Niinimaki,Renato Moicano
Daniel Sarafian,Antonio Dos Santos
Marcos Rogerio de Lima,Igor Pokrajac
Elias Silverio,Rashid Magomedov
Vitor Miranda,Jake Collier
Leandro Issa,Yuta Sasaki
Marcio Alexandre Junior,Tim Means
Darren Elkins,Hacran Dias
Gabriel Gonzaga,Matt Mitrione
Joe Riggs,Ben Saunders
John Moraga,Willie Gates
Rafael Dos Anjos,Nate Diaz
Alistair Overeem,Stefan Struve
Claudia Gadelha,Joanna Jedrzejczyk
Jamie Varner,Drew Dober
Junior Dos Santos,Stipe Miocic
David Michaud,Garett Whiteley
Joe Ellenberger,Bryan Barberena
Anthony Birchak,Ian Entwistle
Henry Cejudo,Dustin Kimura
KJ Noons,Daron Cruickshank
Felice Herrig,Lisa Ellis
Joe Proctor,Yancy Medeiros
Jeremy Stephens,Charles Oliveira
Jessica Penne,Randa Markos
Carla Esparza,Rose Namajunas
Bec Rawlings,Heather Clark
Joanne Calderwood,Seo Hee Ham
Aisling Daly,Alex Chambers
Tecia Torres,Angela Magana
Emily Kagan,Angela Hill
Corey Anderson,Justin Jones
Todd Duffee,Anthony Hamilton
Tony Ferguson,Abel Trujillo
Anthony Pettis,Gilbert Melendez
Eddie Gordon,Josh Samman
Travis Browne,Brendan Schaub
Urijah Faber,Francisco Rivera
Johny Hendricks,Robbie Lawler
Raquel Pennington,Ashlee Evans-Smith
Sergio Pettis,Matt Hobar
Alex White,Clay Collard
Luke Barnatt,Roger Narvaez
Frankie Edgar,Cub Swanson
Jared Rosholt,Aleksei Oleinik
Ruslan Magomedov,Josh Copeland
Joseph Benavidez,Dustin Ortiz
Brad Pickett,Chico Camus
Bobby Green,Edson Barboza
Matt Wiman,Isaac Vallie-Flagg
James Vick,Nick Hein
Paige VanZant,Kailin Curran
Yves Edwards,Akbarh Arreola
Juan Manuel Puig,Dooho Choi
Fabricio Werdum,Mark Hunt
Ricardo Lamas,Dennis Bermudez
Jessica Eye,Leslie Smith
Alejandro Perez,Jose Quinonez
Augusto Montano,Chris Heatherly
Yair Rodriguez,Leonardo Morales
Jake Ellenberger,Kelvin Gastelum
Edgar Garcia,Hector Urbina
Henry Briones,Guido Cannetti
Gabriel Benitez,Humberto Brown Morrison
Marco Beltran,Marlon Vera
Leandro Silva,Charlie Brenneman
Claudio Silva,Leon Edwards
Caio Magalhaes,Trevor Smith
Dhiego Lima,Jorge de Oliveira
Warlley Alves,Alan Jouban
Mauricio Rua,Ovince Saint Preux
Juliana Lima,Nina Ansaroff
Diego Rivas,Rodolfo Rubio Perez
Thomas Almeida,Tim Gorman
Wagner Silva,Colby Covington
Luke Rockhold,Michael Bisping
Robert Whittaker,Clint Hester
Richie Vaculik,Louis Smolka
Jake Matthews,Vagner Rocha
Soa Palelei,Walt Harris
Anthony Perosh,Guto Inocente
Dylan Andrews,Sam Alvey
Ross Pearson,Al Iaquinta
Jumabieke Tuerxun,Marcus Brimage
Vik Grujic,Chris Clements
Luke Zachrich,Daniel Kelly
William Macario,Neil Magny
Diego Ferreira,Beneil Dariush
Darren Elkins,Lucas Martins
Glover Teixeira,Phil Davis
Yan Cabral,Naoyuki Kotani
Scott Jorgensen,Wilson Reis
Fabio Maldonado,Hans Stringer
Jose Aldo,Chad Mendes
Fabricio Camoes,Anthony Rocco Martin
Gilbert Burns,Christos Giagos
Felipe Arantes,Andre Fili
Mitch Gagnon,Roman Salazar
Olivier Aubin-Mercier,Jake Lindsey
Nordine Taleb,Li Jingliang
Rory MacDonald,Tarec Saffiedine
Chad Laprise,Yosdenis Cedeno
Raphael Assuncao,Bryan Caraway
Daron Cruickshank,Anthony Njokuani
Elias Theodorou,Bruno Santos
Paddy Holohan,Chris Kelades
Jason Saggo,Paul Felder
Albert Tumenov,Matt Dwyer
Pedro Munhoz,Jerrod Sanders
Nicholas Musoke,Alexander Yakovlev
Cathal Pendred,Gasan Umalatov
Akira Corassani,Max Holloway
Dennis Siver,Charles Rosa
Gunnar Nelson,Rick Story
Magnus Cedenblad,Scott Askham
Niklas Backstrom,Mike Wilkinson
Ilir Latifi,Jan Blachowicz
Tor Troeng,Krzysztof Jotko
Mairbek Taisumov,Marcin Bandel
Zubaira Tukhugov,Ernest Chavez
Dustin Poirier,Conor McGregor
Cat Zingano,Amanda Nunes
Jorge Masvidal,James Krause
Donald Cerrone,Eddie Alvarez
Tim Kennedy,Yoel Romero
Demetrious Johnson,Chris Cariaso
Dominick Cruz,Takeya Mizugaki
Patrick Cote,Stephen Thompson
Manvel Gamburyan,Cody Gibson
John Howard,Brian Ebersole
Jon Tuck,Kevin Lee
Kiichi Kunimoto,Richard Walsh
Miesha Tate,Rin Nakai
Katsunori Kikuno,Sam Sicilia
Mark Hunt,Roy Nelson
Yoshihiro Akiyama,Amir Sadollah
Alex Caceres,Masanori Kanehara
Myles Jury,Takanori Gomi
Kyoji Horiguchi,Jon Delos Reyes
Michinori Tanaka,Kyung Ho Kang
Hyun Gyu Lim,Takenori Sato
Kazuki Tokudome,Johnny Case
Maximo Blanco,Dan Hooker
Antonio Silva,Andrei Arlovski
Iuri Alcantara,Russell Doane
Santiago Ponzinibbio,Wendell Oliveira Marques
Jessica Andrade,Larissa Pacheco
Gleison Tibau,Piotr Hallmann
Leonardo Santos,Efrain Escudero
Igor Araujo,George Sullivan
Godofredo Pepey,Dashon Johnson
Paulo Thiago,Sean Spencer
Francisco Trinaldo,Leandro Silva
